learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,1,0,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.680653323
2,8,1,1,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.638091561
2,8,1,2,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.668113452
2,8,1,3,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.626034541
2,8,1,4,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.643146586
2,8,1,5,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.541100515
2,8,1,6,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.543435361
2,8,1,7,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.598093861
2,8,1,8,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.654711119
2,8,1,9,0.201,0.881,1,0.021759033,0.382110596,0.137695313,2,0.634410356
3,10,8,0,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.590326662
3,10,8,1,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.569045781
3,10,8,2,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.584056726
3,10,8,3,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.56301727
3,10,8,4,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.571573293
3,10,8,5,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.520550258
3,10,8,6,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.521717681
3,10,8,7,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.54904693
3,10,8,8,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.57735556
3,10,8,9,0.215,0.875,1,0.104278564,0.192962646,0.591888428,2,0.567205178
4,13,2,0,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.317556051
4,13,2,1,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.343772562
4,13,2,2,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.381625249
4,13,2,3,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.288194641
4,13,2,4,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.491394585
4,13,2,5,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.270557271
4,13,2,6,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.5055837
4,13,2,7,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.289265379
4,13,2,8,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.303397479
4,13,2,9,0.229,0.865,1,0.219238281,0.588287354,0.67578125,0,0.348427851
4,13,5,0,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.611778007
4,13,5,1,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.625006854
4,13,5,2,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.623752367
4,13,5,3,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.592398312
4,13,5,4,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.554478616
4,13,5,5,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.591238182
4,13,5,6,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.621068086
4,13,5,7,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.602624988
4,13,5,8,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.566551868
4,13,5,9,0.229,0.865,1,0.079589844,0.331359863,0.752838135,3,0.461695643
4,13,6,0,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.788985016
4,13,6,1,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.740554107
4,13,6,2,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.780630925
4,13,6,3,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.694976863
4,13,6,4,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.737468809
4,13,6,5,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.556418058
4,13,6,6,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.563496628
4,13,6,7,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.644667891
4,13,6,8,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.736786073
4,13,6,9,0.229,0.865,1,0.091003418,0.610534668,0.153381348,4,0.655383009
5,9,4,0,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.8054976
5,9,4,1,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.736136312
5,9,4,2,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.731091061
5,9,4,3,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.795349195
5,9,4,4,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.641108212
5,9,4,5,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.714928335
5,9,4,6,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.534386178
5,9,4,7,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.748120515
5,9,4,8,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.794228693
5,9,4,9,0.22,0.871,1,0.027587891,0.260620117,0.288269043,3,0.688452738
6,19,3,0,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.88035608
6,19,3,1,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.808818484
6,19,3,2,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.775948644
6,19,3,3,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.890988592
6,19,3,4,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.614946168
6,19,3,5,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.847182025
6,19,3,6,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.522468229
6,19,3,7,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.859318344
6,19,3,8,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.882394647
6,19,3,9,0.22,0.863,1,0.143463135,0.152404785,0.782958984,4,0.779401107
6,19,11,0,0.22,0.863,1,0.047363281,0.311889648,0.378387451,4,0.933803612
6,19,11,1,0.22,0.863,1,0.047363281,0.311889648,0.378387451,4,0.896322079
